epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,190.467,0.52066,0.25339,0.00232,0.86519,0.87025,0.86794,0.73251,0.81846,0.8512,0.00529,0.000167122,0.000167122,0.000167122
57,193.7,0.45004,0.24703,0.00212,0.94717,0.81356,0.86804,0.7401,0.73831,0.7851,0.00477,0.000164491,0.000164491,0.000164491
58,197.04,0.45811,0.2087,0.00221,0.91533,0.86441,0.86764,0.74837,0.72948,0.83167,0.00465,0.00016184,0.00016184,0.00016184
59,200.294,0.46372,0.22663,0.00215,0.92642,0.86441,0.87555,0.74666,0.74226,0.81159,0.00472,0.000159172,0.000159172,0.000159172
60,203.802,0.47765,0.266,0.00212,0.96208,0.86,0.88021,0.75727,0.73986,0.71375,0.00478,0.000156487,0.000156487,0.000156487
61,207.241,0.4953,0.24154,0.00222,0.97838,0.86441,0.89304,0.75457,0.78128,0.71355,0.00499,0.000153787,0.000153787,0.000153787
62,210.915,0.46021,0.2523,0.002,0.98032,0.84413,0.8833,0.75419,0.79129,0.79274,0.00503,0.000151073,0.000151073,0.000151073
63,214.352,0.45692,0.23671,0.00211,0.96011,0.86441,0.87967,0.75392,0.77015,0.84524,0.00496,0.000148346,0.000148346,0.000148346
64,217.869,0.44649,0.20719,0.00207,0.94049,0.84746,0.87516,0.75742,0.75362,0.78264,0.00489,0.000145609,0.000145609,0.000145609
65,221.366,0.44586,0.21167,0.00205,0.91069,0.86416,0.87929,0.75678,0.75704,0.73467,0.0048,0.000142861,0.000142861,0.000142861
66,225.042,0.44404,0.24861,0.0022,0.94382,0.86441,0.87458,0.75173,0.74645,0.80581,0.00472,0.000140106,0.000140106,0.000140106
67,228.536,0.45732,0.26218,0.00217,0.96045,0.86441,0.88157,0.75826,0.77131,0.76923,0.0048,0.000137343,0.000137343,0.000137343
68,232.039,0.46655,0.27667,0.00221,0.96145,0.86441,0.88012,0.75008,0.78788,0.78579,0.005,0.000134575,0.000134575,0.000134575
69,235.219,0.48528,0.26304,0.00226,0.96223,0.86355,0.88083,0.75065,0.7725,0.78719,0.00486,0.000131802,0.000131802,0.000131802
70,238.418,0.43548,0.2004,0.00217,0.96286,0.8789,0.8854,0.76126,0.77624,0.75284,0.0048,0.000129027,0.000129027,0.000129027
71,241.773,0.46497,0.23219,0.0022,0.95429,0.86441,0.88342,0.76087,0.74948,0.79113,0.00473,0.00012625,0.00012625,0.00012625
72,244.976,0.45356,0.27184,0.00208,0.98037,0.84642,0.87989,0.75387,0.75117,0.84129,0.00469,0.000123473,0.000123473,0.000123473
73,248.16,0.44669,0.22524,0.00198,0.98038,0.84687,0.87492,0.74587,0.74993,0.84938,0.00471,0.000120698,0.000120698,0.000120698
74,251.363,0.44475,0.25206,0.00221,0.98035,0.84573,0.87886,0.74982,0.75917,0.85593,0.00471,0.000117925,0.000117925,0.000117925
75,254.666,0.48692,0.26736,0.00227,0.96211,0.86074,0.87924,0.74718,0.79377,0.84623,0.005,0.000115157,0.000115157,0.000115157
76,257.862,0.44184,0.23442,0.00202,0.96278,0.87687,0.88307,0.7545,0.80133,0.792,0.00508,0.000112394,0.000112394,0.000112394
77,261.07,0.48671,0.28645,0.00218,0.98065,0.85906,0.8831,0.75633,0.78362,0.81766,0.00495,0.000109639,0.000109639,0.000109639
78,264.28,0.44854,0.276,0.00214,0.98003,0.86441,0.8831,0.74619,0.79859,0.8155,0.0051,0.000106891,0.000106891,0.000106891
79,267.809,0.42343,0.21947,0.00205,0.97814,0.84746,0.88063,0.74847,0.77995,0.82986,0.00499,0.000104154,0.000104154,0.000104154
80,271.314,0.44583,0.18397,0.00211,0.95971,0.84746,0.88121,0.75628,0.77571,0.82464,0.005,0.000101427,0.000101427,0.000101427
81,274.742,0.43392,0.2135,0.00192,0.96084,0.86441,0.88296,0.75504,0.78459,0.84984,0.00509,9.8713e-05,9.8713e-05,9.8713e-05
82,278.167,0.41972,0.19775,0.00208,0.95502,0.86441,0.88175,0.75527,0.77849,0.82866,0.00509,9.60129e-05,9.60129e-05,9.60129e-05
83,281.843,0.407,0.19989,0.00201,0.94527,0.87825,0.88245,0.76374,0.78445,0.8015,0.00511,9.33279e-05,9.33279e-05,9.33279e-05
84,285.286,0.40128,0.19689,0.00185,0.92844,0.87967,0.8834,0.75895,0.76294,0.78534,0.00485,9.06596e-05,9.06596e-05,9.06596e-05
85,288.75,0.39633,0.21046,0.0017,0.97515,0.83051,0.88086,0.76217,0.75568,0.80864,0.00481,8.80091e-05,8.80091e-05,8.80091e-05
86,292.249,0.36904,0.18965,0.00167,0.95677,0.86441,0.88053,0.75411,0.77478,0.85025,0.00494,8.5378e-05,8.5378e-05,8.5378e-05
87,295.675,0.40722,0.19661,0.00188,0.91954,0.86441,0.87794,0.752,0.79129,0.84966,0.00499,8.27674e-05,8.27674e-05,8.27674e-05
